T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,146.79166666666666
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,113.875
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,227.0
8.6,15.5,3.3,1018.7,72,0.8,8.1,20.6,231.25
12.4,20.9,4.4,1017.3,61,1.3,8.7,22.2,272.125
16,25.2,10,1013.2,79,0.6,4.8,11.1,228.79166666666666
13.4,21,9.2,1015.1,87,0.5,1.5,7.6,200.875
14.3,22.6,6.6,1016.3,76,0.8,0.4,3.5,214.04166666666666
12.7,18.9,7.3,1021.2,76,1.8,6.1,16.5,217.25
11.9,18.9,6.3,1020.1,76,1.1,8.3,20.6,212.45833333333334
12.2,19.9,6.2,1021,69,2.1,4.4,18.3,202.66666666666666
13.4,21.1,5.6,1020,60,1.9,8,22.2,138.79166666666666
12.3,21.4,6.4,1019.6,70,1.9,6.7,14.8,153.08333333333334
13.7,22,7,1018.2,63,1.8,7.2,18.3,159.70833333333334
14.9,21.9,7.1,1018.3,73,0.6,2,7.6,151.875
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,177.625
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,149.625
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,161.16666666666666
8.6,15.5,3.3,1018.7,72,0.8,8.1,20.6,136.75
12.4,20.9,4.4,1017.3,61,1.3,8.7,22.2,50.916666666666664
16,25.2,10,1013.2,79,0.6,4.8,11.1,120.20833333333333
13.4,21,9.2,1015.1,87,0.5,1.5,7.6,137.125
14.3,22.6,6.6,1016.3,76,0.8,0.4,3.5,197.08333333333334
12.7,18.9,7.3,1021.2,76,1.8,6.1,16.5,166.375
11.9,18.9,6.3,1020.1,76,1.1,8.3,20.6,126.58333333333333
12.2,19.9,6.2,1021,69,2.1,4.4,18.3,94.91666666666667
13.4,21.1,5.6,1020,60,1.9,8,22.2,133.95833333333334
12.3,21.4,6.4,1019.6,70,1.9,6.7,14.8,69.25
13.7,22,7,1018.2,63,1.8,7.2,18.3,79.29166666666667
14.9,21.9,7.1,1018.3,73,0.6,2,7.6,61.125
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,95.375
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,81.95833333333333
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,81.29166666666667
8.6,15.5,3.3,1018.7,72,0.8,8.1,20.6,111.45833333333333
12.4,20.9,4.4,1017.3,61,1.3,8.7,22.2,133.04166666666666
16,25.2,10,1013.2,79,0.6,4.8,11.1,34.458333333333336
13.4,21,9.2,1015.1,87,0.5,1.5,7.6,56.791666666666664
14.3,22.6,6.6,1016.3,76,0.8,0.4,3.5,48.916666666666664
12.7,18.9,7.3,1021.2,76,1.8,6.1,16.5,65.83333333333333
11.9,18.9,6.3,1020.1,76,1.1,8.3,20.6,58.666666666666664
12.2,19.9,6.2,1021,69,2.1,4.4,18.3,67.08333333333333
13.4,21.1,5.6,1020,60,1.9,8,22.2,84.41666666666667
12.3,21.4,6.4,1019.6,70,1.9,6.7,14.8,97.08333333333333
13.7,22,7,1018.2,63,1.8,7.2,18.3,21.583333333333332
14.9,21.9,7.1,1018.3,73,0.6,2,7.6,28.458333333333332
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,67.04166666666667
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,90.0
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,76.25
8.6,15.5,3.3,1018.7,72,0.8,8.1,20.6,69.04166666666667
12.4,20.9,4.4,1017.3,61,1.3,8.7,22.2,41.166666666666664
16,25.2,10,1013.2,79,0.6,4.8,11.1,45.5
13.4,21,9.2,1015.1,87,0.5,1.5,7.6,56.833333333333336
14.3,22.6,6.6,1016.3,76,0.8,0.4,3.5,100.41666666666667
12.7,18.9,7.3,1021.2,76,1.8,6.1,16.5,76.66666666666667
11.9,18.9,6.3,1020.1,76,1.1,8.3,20.6,56.875
12.2,19.9,6.2,1021,69,2.1,4.4,18.3,98.375
13.4,21.1,5.6,1020,60,1.9,8,22.2,38.25
12.3,21.4,6.4,1019.6,70,1.9,6.7,14.8,41.375
13.7,22,7,1018.2,63,1.8,7.2,18.3,48.416666666666664
14.9,21.9,7.1,1018.3,73,0.6,2,7.6,76.5
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,117.91666666666667
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,76.875
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,74.75
8.6,15.5,3.3,1018.7,72,0.8,8.1,20.6,73.66666666666667
12.4,20.9,4.4,1017.3,61,1.3,8.7,22.2,48.5
16,25.2,10,1013.2,79,0.6,4.8,11.1,63.958333333333336
13.4,21,9.2,1015.1,87,0.5,1.5,7.6,32.583333333333336
14.3,22.6,6.6,1016.3,76,0.8,0.4,3.5,18.875
12.7,18.9,7.3,1021.2,76,1.8,6.1,16.5,43.125
11.9,18.9,6.3,1020.1,76,1.1,8.3,20.6,60.75
12.2,19.9,6.2,1021,69,2.1,4.4,18.3,77.375
13.4,21.1,5.6,1020,60,1.9,8,22.2,60.083333333333336
12.3,21.4,6.4,1019.6,70,1.9,6.7,14.8,81.5
13.7,22,7,1018.2,63,1.8,7.2,18.3,63.625
14.9,21.9,7.1,1018.3,73,0.6,2,7.6,70.08333333333333
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,76.25
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,64.83333333333333
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,56.375
8.6,15.5,3.3,1018.7,72,0.8,8.1,20.6,30.375
12.4,20.9,4.4,1017.3,61,1.3,8.7,22.2,31.875
16,25.2,10,1013.2,79,0.6,4.8,11.1,87.875
13.4,21,9.2,1015.1,87,0.5,1.5,7.6,92.54166666666667
14.3,22.6,6.6,1016.3,76,0.8,0.4,3.5,75.33333333333333
12.7,18.9,7.3,1021.2,76,1.8,6.1,16.5,52.833333333333336
11.9,18.9,6.3,1020.1,76,1.1,8.3,20.6,93.41666666666667
12.2,19.9,6.2,1021,69,2.1,4.4,18.3,28.541666666666668
